config,group,detector,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_full_hybrid,AP50_delta_full_hybrid,AP75_delta_full_hybrid
support_confidence_high_50,block_2,ssd,contrast_s2,27.71746916366104,46.02823390686545,28.266408129975183,0.07083759046024318,-0.18620287945795844,-0.23926692626389245,0.062382969866231486,-0.016438312643446418,0.062401355940922
support_confidence_high_50,block_2,ssd,color_cast_s1,29.5598681681,47.88354715883157,30.45100284128469,0.1531723565243781,0.07286399960759193,0.0569736993508374,-0.02458251138290901,0.020244995535362298,0.026981975639733813
support_confidence_high_50,block_2,ssd,color_cast_s2,29.187446505696023,47.82124319037387,30.68226776110126,0.02488353581284186,0.04884885258494287,0.040535199927066445,-0.006359426130209123,-0.08682218216063964,0.03140909016839388
support_confidence_high_50,block_2,ssd,clean_s0,29.94991398745071,48.737958224797154,31.894195266963727,-0.001138149671087163,0.022150850401164712,-0.026123373803904615,0.01506741655399324,0.010537179122116491,0.11605470250624639
support_confidence_high_50,block_3,source,gamma_s1,39.31513907222459,60.745634764307674,42.743727702250354,0.04765121061579558,0.3227866436564142,-0.07828125021624444,-0.3090369307151175,-0.47867229897662344,-0.5039504127935246
support_confidence_high_50,block_3,source,gamma_s2,37.752771328421595,58.54898683423579,40.67842838482889,0.09310704339756115,0.1377666171394787,-0.8450707147716618,0.48387566294261775,0.6532544477574564,1.0620537540221686
support_confidence_high_50,block_3,source,contrast_s1,39.31113461623132,60.066012014326674,43.207236603262565,-0.286918422621546,-0.17649879171287575,-0.5321465015741988,0.011595760844107517,-0.1643245802750437,0.06306039329070368
support_confidence_high_50,block_3,source,contrast_s2,32.70080013762293,52.74241214040004,34.60255990345614,0.0628180124262856,0.13288167580796095,0.5766553567400357,-0.4045200397455817,-0.2300154246949182,-0.5025276544430912
support_confidence_high_50,block_3,source,color_cast_s1,40.32275821765493,62.409691650053446,43.545237488524485,-0.15059762963925416,-0.11987807231610415,-0.722183643944313,-0.03361643148845905,-0.1740513626897089,0.40704347372965133
support_confidence_high_50,block_3,source,color_cast_s2,39.38354281262931,61.47886513186754,40.9880065466664,-0.027154838238124812,-0.1568207704690905,-0.12205800733190997,-0.10794667042809958,0.23705823459623243,-0.6946802994747203
support_confidence_high_50,block_3,source,clean_s0,41.78729151050797,63.45638021022072,44.84066914335743,0.09640063000486143,-0.004779313213820746,-0.1796756863792992,0.046353966124579316,0.044073044819714635,0.03418396430756032
support_confidence_high_50,block_3,target,gamma_s1,41.22434429141356,60.02782319939492,44.199489254519996,-0.08130431050819564,-0.12201162184979353,0.002424456572275302,0.21073911501882092,0.08002645443754286,0.4365317322212403
support_confidence_high_50,block_3,target,gamma_s2,40.14036034917912,58.602618101843106,42.04930529681622,0.03411052421198879,-0.0014166091003131598,-0.43941850368081625,0.14422937679319237,0.12351565786948848,-0.11144353605588297
support_confidence_high_50,block_3,target,contrast_s1,40.79521436405827,58.34874543640619,43.487561893434496,0.10727866890145044,-0.30809984160405923,-0.17625221330071494,0.0814872591770488,0.13582065990560555,-0.32593932097071954
support_confidence_high_50,block_3,target,contrast_s2,35.57604290530789,51.739372465316855,36.91161903302574,-0.08325068466466523,0.011507973234359259,-0.014187192680409355,-0.13115030778571568,-0.045962629853435466,-0.578292129474367
support_confidence_high_50,block_3,target,color_cast_s1,42.148911474028445,61.79571540334052,44.97042395621976,-0.1644510798737675,0.6690652587456603,-0.17978626004435116,0.02631556431886284,-0.06861972787290949,-0.09840382443934703
support_confidence_high_50,block_3,target,color_cast_s2,41.16026205374833,59.86851616997918,43.32851433707896,0.008857715159071855,0.03301856507970102,0.042838456844401795,-0.20530799097810415,-0.015761914453826797,-0.18092074853134354
support_confidence_high_50,block_3,target,clean_s0,42.91224559843067,62.05871788423614,45.5269973016116,0.00153882075765166,0.019183334747796543,0.7245495741122654,0.1005226732881781,-0.09788696006302056,-0.09133440257695358
support_confidence_high_50,block_3,ssd,gamma_s1,28.218238689814978,45.02114236210869,29.936690968163006,0.030736090611310773,0.03446981790238279,0.03803010612813407,0.06840640324788372,0.15604574189070353,-0.03750689277213226
