contrast,group,proxy,statistic,estimate,ci_low,ci_high,valid_observations
source/global_generic-minus-no_adapt/K1,gamma_s1,fp05,mean_delta,-0.095,-0.265,0.065,200
source/global_generic-minus-no_adapt/K1,gamma_s1,fp05,loss_good_proxy_good,0.11,0.06987500000000002,0.155,200
source/global_generic-minus-no_adapt/K1,gamma_s1,fp05,loss_good_proxy_bad,0.075,0.04,0.115,200
source/global_generic-minus-no_adapt/K1,gamma_s1,fp05,loss_bad_proxy_good,0.145,0.1,0.195,200
source/global_generic-minus-no_adapt/K1,gamma_s1,fp05,loss_bad_proxy_bad,0.13,0.085,0.175,200
source/global_generic-minus-no_adapt/K1,gamma_s1,fp05,ties,0.54,0.47,0.61,200
source/global_generic-minus-no_adapt/K1,gamma_s1,fp05,proxy_bad_given_loss_good,0.17857142857142858,0.09996913580246915,0.26317616959064316,84
source/global_generic-minus-no_adapt/K1,gamma_s1,fp50,mean_delta,-0.025,-0.1,0.045,200
source/global_generic-minus-no_adapt/K1,gamma_s1,fp50,loss_good_proxy_good,0.05,0.02,0.08,200
source/global_generic-minus-no_adapt/K1,gamma_s1,fp50,loss_good_proxy_bad,0.04,0.015,0.07,200
source/global_generic-minus-no_adapt/K1,gamma_s1,fp50,loss_bad_proxy_good,0.055,0.025,0.09,200
source/global_generic-minus-no_adapt/K1,gamma_s1,fp50,loss_bad_proxy_bad,0.06,0.03,0.095,200
source/global_generic-minus-no_adapt/K1,gamma_s1,fp50,ties,0.795,0.735,0.845,200
source/global_generic-minus-no_adapt/K1,gamma_s1,fp50,proxy_bad_given_loss_good,0.09523809523809523,0.037037037037037035,0.16217060810810807,84
source/global_generic-minus-no_adapt/K1,gamma_s1,duplicates,mean_delta,-0.055,-0.125,0.01,200
source/global_generic-minus-no_adapt/K1,gamma_s1,duplicates,loss_good_proxy_good,0.05,0.025,0.08,200
source/global_generic-minus-no_adapt/K1,gamma_s1,duplicates,loss_good_proxy_bad,0.01,0.0,0.025,200
source/global_generic-minus-no_adapt/K1,gamma_s1,duplicates,loss_bad_proxy_good,0.055,0.025,0.09,200
source/global_generic-minus-no_adapt/K1,gamma_s1,duplicates,loss_bad_proxy_bad,0.045,0.02,0.075,200
source/global_generic-minus-no_adapt/K1,gamma_s1,duplicates,ties,0.84,0.785,0.89,200
source/global_generic-minus-no_adapt/K1,gamma_s1,duplicates,proxy_bad_given_loss_good,0.023809523809523808,0.0,0.06061529933481148,84
source/global_generic-minus-no_adapt/K1,gamma_s2,recall50,mean_delta,-0.0005100760751870998,-0.0060610143767618075,0.005000044066384981,199
source/global_generic-minus-no_adapt/K1,gamma_s2,recall50,loss_good_proxy_good,0.010050251256281407,0.0,0.02512562814070352,199
source/global_generic-minus-no_adapt/K1,gamma_s2,recall50,loss_good_proxy_bad,0.01507537688442211,0.0,0.035175879396984924,199
source/global_generic-minus-no_adapt/K1,gamma_s2,recall50,loss_bad_proxy_good,0.020100502512562814,0.005,0.04040404040404041,199
source/global_generic-minus-no_adapt/K1,gamma_s2,recall50,loss_bad_proxy_bad,0.02512562814070352,0.005025125628140704,0.05025125628140704,199
source/global_generic-minus-no_adapt/K1,gamma_s2,recall50,ties,0.9296482412060302,0.89,0.964824120603015,199
source/global_generic-minus-no_adapt/K1,gamma_s2,recall50,proxy_bad_given_loss_good,0.026785714285714284,0.0,0.06185795091688714,112
source/global_generic-minus-no_adapt/K1,gamma_s2,recall75,mean_delta,-0.0008315318168359125,-0.006238998776141225,0.004016878314209399,199
source/global_generic-minus-no_adapt/K1,gamma_s2,recall75,loss_good_proxy_good,0.020100502512562814,0.005,0.045,199
source/global_generic-minus-no_adapt/K1,gamma_s2,recall75,loss_good_proxy_bad,0.010050251256281407,0.0,0.025252525252525252,199
source/global_generic-minus-no_adapt/K1,gamma_s2,recall75,loss_bad_proxy_good,0.03015075376884422,0.01,0.05555555555555555,199
source/global_generic-minus-no_adapt/K1,gamma_s2,recall75,loss_bad_proxy_bad,0.03015075376884422,0.01,0.05555555555555555,199
source/global_generic-minus-no_adapt/K1,gamma_s2,recall75,ties,0.9095477386934674,0.8686868686868687,0.9492449879505717,199
source/global_generic-minus-no_adapt/K1,gamma_s2,recall75,proxy_bad_given_loss_good,0.017857142857142856,0.0,0.046301679586563275,112
source/global_generic-minus-no_adapt/K1,gamma_s2,best_iou_mean,mean_delta,-0.0006473299134199934,-0.0032762908625393623,0.0022444497879807583,199
source/global_generic-minus-no_adapt/K1,gamma_s2,best_iou_mean,loss_good_proxy_good,0.24120603015075376,0.18271804337794184,0.3015075376884422,199
source/global_generic-minus-no_adapt/K1,gamma_s2,best_iou_mean,loss_good_proxy_bad,0.32160804020100503,0.26497398477157363,0.385,199
source/global_generic-minus-no_adapt/K1,gamma_s2,best_iou_mean,loss_bad_proxy_good,0.17587939698492464,0.125,0.23115577889447236,199
source/global_generic-minus-no_adapt/K1,gamma_s2,best_iou_mean,loss_bad_proxy_bad,0.2613065326633166,0.2,0.32323232323232326,199
source/global_generic-minus-no_adapt/K1,gamma_s2,best_iou_mean,ties,0.0,0.0,0.0,199
source/global_generic-minus-no_adapt/K1,gamma_s2,best_iou_mean,proxy_bad_given_loss_good,0.5714285714285714,0.48330357142857144,0.6635535259133389,112
source/global_generic-minus-no_adapt/K1,gamma_s2,best_iou_median,mean_delta,-0.0038071957709334297,-0.01095986931518714,0.001147473156899882,199
source/global_generic-minus-no_adapt/K1,gamma_s2,best_iou_median,loss_good_proxy_good,0.2663316582914573,0.205,0.33,199
source/global_generic-minus-no_adapt/K1,gamma_s2,best_iou_median,loss_good_proxy_bad,0.2914572864321608,0.23115577889447236,0.35175879396984927,199
source/global_generic-minus-no_adapt/K1,gamma_s2,best_iou_median,loss_bad_proxy_good,0.1708542713567839,0.12060301507537688,0.22727272727272727,199
source/global_generic-minus-no_adapt/K1,gamma_s2,best_iou_median,loss_bad_proxy_bad,0.25125628140703515,0.19095477386934673,0.3150395728643214,199
source/global_generic-minus-no_adapt/K1,gamma_s2,best_iou_median,ties,0.020100502512562814,0.005,0.04040916782033531,199
source/global_generic-minus-no_adapt/K1,gamma_s2,best_iou_median,proxy_bad_given_loss_good,0.5178571428571429,0.428538961038961,0.6095296167247387,112
source/global_generic-minus-no_adapt/K1,gamma_s2,agnostic_iou_mean,mean_delta,-0.0005302766386924474,-0.0021512688424115112,0.0012590590092089009,199
source/global_generic-minus-no_adapt/K1,gamma_s2,agnostic_iou_mean,loss_good_proxy_good,0.2562814070351759,0.19597989949748743,0.3198020304568528,199
source/global_generic-minus-no_adapt/K1,gamma_s2,agnostic_iou_mean,loss_good_proxy_bad,0.3065326633165829,0.24623115577889448,0.36683417085427134,199
source/global_generic-minus-no_adapt/K1,gamma_s2,agnostic_iou_mean,loss_bad_proxy_good,0.16080402010050251,0.11055276381909548,0.2150270100502511,199
source/global_generic-minus-no_adapt/K1,gamma_s2,agnostic_iou_mean,loss_bad_proxy_bad,0.27638190954773867,0.21608040201005024,0.3401015228426396,199
source/global_generic-minus-no_adapt/K1,gamma_s2,agnostic_iou_mean,ties,0.0,0.0,0.0,199
source/global_generic-minus-no_adapt/K1,gamma_s2,agnostic_iou_mean,proxy_bad_given_loss_good,0.5446428571428571,0.45689146076568016,0.6363837489943683,112
source/global_generic-minus-no_adapt/K1,gamma_s2,class_score_mean,mean_delta,-0.00111841638395251,-0.0024260070127943463,9.217613687339679e-05,199
source/global_generic-minus-no_adapt/K1,gamma_s2,class_score_mean,loss_good_proxy_good,0.24623115577889448,0.18686868686868688,0.3065326633165829,199
source/global_generic-minus-no_adapt/K1,gamma_s2,class_score_mean,loss_good_proxy_bad,0.3165829145728643,0.25252525252525254,0.38071065989847713,199
source/global_generic-minus-no_adapt/K1,gamma_s2,class_score_mean,loss_bad_proxy_good,0.20603015075376885,0.1507537688442211,0.2663316582914573,199
source/global_generic-minus-no_adapt/K1,gamma_s2,class_score_mean,loss_bad_proxy_bad,0.23115577889447236,0.1717171717171717,0.2900364321608038,199
source/global_generic-minus-no_adapt/K1,gamma_s2,class_score_mean,ties,0.0,0.0,0.0,199
source/global_generic-minus-no_adapt/K1,gamma_s2,class_score_mean,proxy_bad_given_loss_good,0.5625,0.47058823529411764,0.6551724137931034,112
source/global_generic-minus-no_adapt/K1,gamma_s2,tp_score50_mean,mean_delta,-0.0022943580083171003,-0.006655204959646598,0.001993750386686358,199
source/global_generic-minus-no_adapt/K1,gamma_s2,tp_score50_mean,loss_good_proxy_good,0.271356783919598,0.21212121212121213,0.32832448854022434,199
source/global_generic-minus-no_adapt/K1,gamma_s2,tp_score50_mean,loss_good_proxy_bad,0.2914572864321608,0.23115577889447236,0.355,199
