group,detector,variant,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_det_pseudo_clip_radius,AP50_delta_det_pseudo_clip_radius,AP75_delta_det_pseudo_clip_radius
block_1,ssd,no_adapt,clean_s0,29.532766419260977,46.41470324833915,30.877613937101405,0.0,0.0,0.0,0.0022872659529216133,0.056591876891814996,-0.03348681076058013
block_1,ssd,det_pseudo_clip_radius,gamma_s1,29.072542620194223,45.719979000487584,31.060027204009454,0.024273068110214346,-0.02017134525577613,0.22325538948299029,0.0,0.0,0.0
block_1,ssd,det_pseudo_clip_radius,gamma_s2,28.238688563177185,44.50690767742473,29.2901968611372,-0.0562777462669084,0.11261895979518544,0.24371814086474042,0.0,0.0,0.0
block_1,ssd,det_pseudo_clip_radius,contrast_s1,29.193329103678025,46.49201442043344,30.27522597005975,-0.03584772162902872,0.33580026349701586,-0.01809445860180836,0.0,0.0,0.0
block_1,ssd,det_pseudo_clip_radius,contrast_s2,27.716240096995687,43.88845090513564,27.67340372853566,0.12188478107380551,0.3794372271971991,0.029281264669983598,0.0,0.0,0.0
block_1,ssd,det_pseudo_clip_radius,color_cast_s1,28.660290447045806,45.6924420334799,30.02840792196608,-0.013460935631653959,-0.1572724644717527,0.12256328615498635,0.0,0.0,0.0
block_1,ssd,det_pseudo_clip_radius,color_cast_s2,27.676407534345376,43.733946469741404,28.706642560384545,-0.06803166770539826,-0.0090180495658565,-0.1170312785395089,0.0,0.0,0.0
block_1,ssd,det_pseudo_clip_radius,clean_s0,29.530479153308054,46.358111371447336,30.911100747861987,-0.0022872659529216133,-0.056591876891814996,0.03348681076058013,0.0,0.0,0.0
block_1,ssd,det_pseudo_half_dose,gamma_s1,29.144130272202815,45.747351003644866,31.030109728798845,0.09586072011880664,0.007200657901507146,0.193337914272379,0.0715876520085923,0.027372003157283276,-0.029917475210611277
block_1,ssd,det_pseudo_half_dose,gamma_s2,28.184555879364133,44.3343914030875,28.991549901195462,-0.11041043007996021,-0.05989731454204006,-0.0549288190769992,-0.05413268381305181,-0.1725162743372255,-0.2986469599417396
block_1,ssd,det_pseudo_half_dose,contrast_s1,29.140151383927105,46.05802658595991,30.513911275737904,-0.08902544137994739,-0.09818757097651565,0.22059084707634624,-0.05317771975091867,-0.4339878344735315,0.2386853056781546
block_1,ssd,det_pseudo_half_dose,contrast_s2,27.695343231928536,43.62919027059115,27.822149602306133,0.10098791600665624,0.12017659265270986,0.17802713844045637,-0.020896865067149273,-0.2592606345444892,0.14874587377047277
